0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
// --------- Underworld ---------
10        0       1       674     15      2      10      10      240     240     6	    *	      0           0           //Moon Rabbit
10        0       2       674     15      3      10      10      240     240     6	    *	      0           0           //Moon Rabbit
10        0       3       674     15      51     10      10      240     240     6	    *	      0           0           //Moon Rabbit
10        1       0       675     15      4      10      10      240     240     6	    *	      0           0           //Pouch of Blessing
10        1       1       675     15      10     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
10        1       2       675     15      28     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
10        1       3       675     15      33     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
10        2       0       676     15      36     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
10        2       1       676     15      37     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
10        2       2       676     15      56     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
10        2       3       676     15      57     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
end
